Antibiotic,Model,N_Samples,Best_Hyperparam_Name,Best_Hyperparam_Value,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,ROC_AUC_Macro_OVR,Train_Time_Sec,Predict_Time_Sec
AMX/AMP,LogisticRegression,9957,C,0.01,0.6623480968163101,0.43657916850896655,0.4313393829993624,0.4283685308921957,0.6114981104753078,0.062132359971292316,0.004086659988388419
AMX/AMP,DecisionTree,9957,max_depth,4.0,0.6597368685346993,0.4337286794183346,0.43153030316616503,0.4288107710663764,0.6053527623883304,0.03555781999602914,0.002861300017684698
AMX/AMP,RandomForest,9957,n_estimators,400.0,0.6577282313949985,0.43311613077054173,0.42796695342341157,0.42484378395199024,0.6042420171575801,2.9202084199991076,0.11599232002627105
AMX/AMP,XGBoost,9957,n_estimators,100.0,0.6579290951089686,0.43289452264479555,0.42862933977662315,0.42559251414834803,0.6047591550943303,0.46872314002830534,0.01644873998593539
AMX/AMP,CatBoost,9957,iterations,300.0,0.6345284724314553,0.4145879009592634,0.41239876891411575,0.40872752956073244,0.5993197374287673,3.1332151599694043,0.006561340019106865
AMC,LogisticRegression,9957,C,0.1,0.6545144119714773,0.5387958927132594,0.4241527465442451,0.4233899526067953,0.5993126056482901,0.11007262005005032,0.003953899955376983
AMC,DecisionTree,9957,max_depth,4.0,0.6522044792608215,0.4250422865831512,0.4244967811755261,0.42213736638186505,0.5912489258972742,0.032760719978250565,0.0027913999976590274
AMC,RandomForest,9957,n_estimators,400.0,0.6533092296876569,0.4270478552762948,0.4205452472795031,0.4176421151363865,0.5885530365228907,2.8737142199883237,0.11250034000258893
AMC,XGBoost,9957,n_estimators,100.0,0.6520036155468515,0.42567666407122867,0.420812369642482,0.41812249160958376,0.5868792368647706,0.4741132600232959,0.015646219975315033
AMC,CatBoost,9957,iterations,400.0,0.6259917645877272,0.4049550000975131,0.40159674197351447,0.3977741378779147,0.582180995748174,4.2711923399940135,0.0062431000173091885
CZ,LogisticRegression,9957,C,0.1,0.6517023199758963,0.5956273527026185,0.43134656804477367,0.4354128356911498,0.6272721474188748,0.11991157997399568,0.004253980005159974
CZ,DecisionTree,9957,max_depth,4.0,0.6509992969770011,0.4275066379525773,0.4253549291428609,0.4225229490533766,0.6010624266902471,0.033960459963418545,0.002995840017683804
CZ,RandomForest,9957,n_estimators,400.0,0.6491915235512704,0.4266572751045315,0.4229793214604425,0.4199211841661102,0.6139110724235908,2.9561226999852805,0.11007571998052298
CZ,XGBoost,9957,n_estimators,100.0,0.6464798634126745,0.5910104590638586,0.42361869366171456,0.4225739859956635,0.62156221824236,0.4600838799728081,0.015229179989546537
CZ,CatBoost,9957,iterations,400.0,0.6222757858792809,0.40592010092003167,0.40399922557534557,0.40016511830793694,0.6073776637424272,4.381263559986837,0.007115900004282594
FOX,LogisticRegression,9957,C,0.01,0.6579290951089686,0.6659948070959173,0.44040708587484945,0.4498582899265327,0.6050352294555746,0.0791452799923718,0.004593300027772784
FOX,DecisionTree,9957,max_depth,8.0,0.6475846138395099,0.48299024292689174,0.42914821711703305,0.4316234628442568,0.5981048122044009,0.061580260004848245,0.0029269199585542083
FOX,RandomForest,9957,n_estimators,400.0,0.6584312543938937,0.4329552003665012,0.4281011259269531,0.4254128848613587,0.6342680207500168,2.9283432599855588,0.10302396002225578
FOX,XGBoost,9957,n_estimators,200.0,0.6477854775534799,0.5078938554314155,0.42223564187053864,0.4210557908530257,0.5900535113722628,0.8883421400096267,0.018260720022954046
FOX,CatBoost,9957,iterations,400.0,0.639449633423722,0.4181078743637506,0.41459891682885813,0.41130573337121784,0.5965534011906487,4.263133500004187,0.006815039995126426
CTX/CRO,LogisticRegression,9957,C,0.01,0.6622476649593251,0.43509229540759997,0.43118330365498303,0.4285371881634819,0.6310080874087695,0.06306563999969513,0.004374499968253076
CTX/CRO,DecisionTree,9957,max_depth,4.0,0.6603394596766095,0.43309672847724995,0.4309000024544704,0.42824495002500407,0.6037238360305878,0.034645339986309406,0.002930180006660521
CTX/CRO,RandomForest,9957,n_estimators,400.0,0.6567239128251481,0.4310957768359495,0.42635672581940415,0.4233503141452056,0.6181141933264186,2.9379309799987823,0.10318815999198705
CTX/CRO,XGBoost,9957,n_estimators,100.0,0.6541126845435372,0.42874110043257313,0.4251714067330618,0.4221904285221664,0.6123972684634374,0.4636588200228289,0.015666680014692246
CTX/CRO,CatBoost,9957,iterations,400.0,0.6341267450035151,0.41337894013553456,0.41115076290818103,0.4076398441196827,0.6000343656208825,4.3346742000197995,0.0062144400086253885
IPM,LogisticRegression,9957,C,0.01,0.6629506879582203,0.6694917235820382,0.4443931056915078,0.4529377263879401,0.6188627944584688,0.07850166002754122,0.004557899991050362
IPM,DecisionTree,9957,max_depth,4.0,0.6612433463894748,0.767500853428808,0.4345537047243228,0.4335545131026128,0.601345688717697,0.03560609994456172,0.0029469400411471724
IPM,RandomForest,9957,n_estimators,300.0,0.6577282313949985,0.4324144131021937,0.4282439242116449,0.4251107208776681,0.6342838096747043,2.217357079964131,0.08189018000848591
IPM,XGBoost,9957,n_estimators,100.0,0.658933413678819,0.7663082120607901,0.4350299732150466,0.4373298641092101,0.6152974135472031,0.4617521199863404,0.015524900006130337
IPM,CatBoost,9957,iterations,400.0,0.6400522245656323,0.41853235614498646,0.4167384125166758,0.4133129541046337,0.6070132095605998,4.397077959962189,0.006621640012599528
GEN,LogisticRegression,9957,C,0.1,0.7891935321884102,0.596494755537683,0.3377994370081052,0.30288566221564267,0.5435124063835883,0.08854183999355883,0.005353879975154996
GEN,DecisionTree,9957,max_depth,,0.6485889324093602,0.33282032973020553,0.33261853841683486,0.3325249546039595,0.49971734046394567,0.16211416001897305,0.0034239599714055657
GEN,RandomForest,9957,n_estimators,100.0,0.7885909410465,0.3842324308843512,0.33376739125402227,0.2953022127579355,0.5187919549256771,0.7223224599845708,0.030320760002359746
GEN,XGBoost,9957,n_estimators,400.0,0.7825650296273978,0.4631010163575651,0.3375854779317906,0.3087005550556496,0.5198786471191784,1.723994639981538,0.025597519963048397
GEN,CatBoost,9957,iterations,100.0,0.7753339359244752,0.3547066153349853,0.3386736926175429,0.31609797940642465,0.513081538514758,1.1158737000310794,0.0054366199765354395
AN,LogisticRegression,9957,C,0.01,0.7919051923270062,0.8972585293920504,0.3504574640034403,0.32703159698108514,0.5120492702437447,0.05196478003636003,0.003515739995054901
AN,DecisionTree,9957,max_depth,12.0,0.7642864316561213,0.4054115217860997,0.35357379197656785,0.34783283676811855,0.4915814247139811,0.0913704400183633,0.003076120000332594
AN,RandomForest,9957,n_estimators,200.0,0.791603896756051,0.6935338838788502,0.3486222188328154,0.3239055330946566,0.5027054252550891,1.454626079997979,0.05467710001394153
AN,XGBoost,9957,n_estimators,400.0,0.786080144621874,0.6539647126277761,0.349759268791966,0.3321685969354415,0.5264946857018067,1.701555099990219,0.027143940003588794
AN,CatBoost,9957,iterations,300.0,0.783167620769308,0.6003720940487,0.34143341121907783,0.3178203923413128,0.5186038457067216,3.325161180016585,0.0058649200014770034
Acide nalidixique,LogisticRegression,9957,C,0.01,0.8412172341066586,0.28051843665226567,0.33321398734932567,0.30460397119790533,0.5799823410432944,0.05005471999756992,0.003981440025381744
Acide nalidixique,DecisionTree,9957,max_depth,,0.7210003012955709,0.34753533874175974,0.3494934387796948,0.3480686195845382,0.5137722898601376,0.13826257998589425,0.003115199995227158
Acide nalidixique,RandomForest,9957,n_estimators,100.0,0.8415185296776138,0.28050617655920457,0.3333333333333333,0.30464659685863876,0.5619001843364672,0.706198240001686,0.03556289998814464
Acide nalidixique,XGBoost,9957,n_estimators,400.0,0.8382042783971075,0.3372258073120591,0.33382387284252896,0.30817865317823984,0.5654761385638102,1.732786100008525,0.02581240001600236
Acide nalidixique,CatBoost,9957,iterations,200.0,0.8354926182585116,0.35561228124886846,0.33615607794932184,0.31496426652964943,0.5456835293595262,2.206342580029741,0.005852579977363348
ofx,LogisticRegression,9957,C,0.1,0.8443306216731947,0.4982643077335478,0.3374169645175055,0.313356288749394,0.5548539908260656,0.0845023199915886,0.0046181000070646405
ofx,DecisionTree,9957,max_depth,12.0,0.8020488098824947,0.34517920248167694,0.3354478642535595,0.3286768945739922,0.5298732206225418,0.09115346001926809,0.0034903999883681537
ofx,RandomForest,9957,n_estimators,100.0,0.8442301898162097,0.2814100632720699,0.3333333333333333,0.3051788923378533,0.5510856632496538,0.6690655400045216,0.03252606000751257
ofx,XGBoost,9957,n_estimators,400.0,0.842522848247464,0.4844333490238271,0.3367992262642902,0.31385413306252075,0.5586542515441559,1.722405399964191,0.024874980002641676
ofx,CatBoost,9957,iterations,200.0,0.8381038465401225,0.3215393475868229,0.33293159392314803,0.30852893464544645,0.5426501550882521,2.2022417800035328,0.005661859968677163
CIP,LogisticRegression,9957,C,0.01,0.8370995279702722,0.4643313264002919,0.3426043090948147,0.32155658975367823,0.5501133977461664,0.05185371995903552,0.003700540028512478
CIP,DecisionTree,9957,max_depth,,0.7151752535904389,0.35091805516237873,0.3535567990255782,0.35177260948959005,0.5170587541071968,0.14114633998833598,0.003147199982777238
CIP,RandomForest,9957,n_estimators,100.0,0.8370995279702722,0.5012896526312264,0.3407821229050279,0.3182104979938915,0.5566687367280695,0.6853357999818399,0.02801136001944542
CIP,XGBoost,9957,n_estimators,400.0,0.8342874359746911,0.47923651787517674,0.33792094148443774,0.31499594909583006,0.5486525816783284,1.7283553200075403,0.02562749998178333
CIP,CatBoost,9957,iterations,100.0,0.827960228984634,0.6703496387882653,0.33624295600257,0.3157066187023952,0.5476417091937257,1.1647150200325995,0.007508940016850829
C,LogisticRegression,9957,C,0.01,0.8431254393893743,0.4811232867531248,0.34428261448523667,0.3258268800785297,0.5907009770765209,0.06436801999807358,0.0053996600210666655
C,DecisionTree,9957,max_depth,,0.7230089384352717,0.34572380407604614,0.3472026857981428,0.34617445737165875,0.5114926475003864,0.1560035999631509,0.003329820022918284
C,RandomForest,9957,n_estimators,100.0,0.8430250075323893,0.5191337640583872,0.3424511126537348,0.32258034115540474,0.574019034373929,0.7053686600411311,0.03014587997458875
C,XGBoost,9957,n_estimators,400.0,0.839409460680928,0.43747155930832243,0.33666696723714057,0.3143090573591028,0.573587970102572,1.6844877800205722,0.025996279995888473
C,CatBoost,9957,iterations,100.0,0.8364969368283619,0.4494595882723737,0.33611763411034506,0.31492199456697356,0.5711166384091757,1.148402260034345,0.005266539985314012
Co-trimoxazole,LogisticRegression,9957,C,0.1,0.8406146429647484,0.44694000602954476,0.33896098545709225,0.31557047468296856,0.5919577911731122,0.0895768999820575,0.004853280005045235
Co-trimoxazole,DecisionTree,9957,max_depth,,0.7174851863010947,0.34950179786245367,0.35276406040524705,0.35058522135789366,0.5137125866736828,0.14446993998717517,0.0032744800206273793
Co-trimoxazole,RandomForest,9957,n_estimators,100.0,0.8406146429647484,0.28020488098824947,0.3333333333333333,0.30446881650024554,0.5825110296059781,0.6786450200015679,0.02989358000922948
Co-trimoxazole,XGBoost,9957,n_estimators,400.0,0.839509892537913,0.7164204962712425,0.3389999880167063,0.31732543736511004,0.5645650175276099,1.696649800008163,0.02501736001577228
Co-trimoxazole,CatBoost,9957,iterations,100.0,0.833785276689766,0.35874105264943346,0.3365076466096944,0.31604885718881864,0.5725585604508251,1.1190818799892441,0.005328380013816058
Furanes,LogisticRegression,9957,C,0.01,0.8500552375213418,0.7437194910805044,0.3434146426032836,0.3257659132831405,0.5932283715314716,0.05224568003322929,0.003497500019147992
Furanes,DecisionTree,9957,max_depth,,0.7178869137290349,0.3315607908719245,0.3316062591048973,0.33113059141538087,0.49768613238936604,0.14495580000802874,0.003249960020184517
Furanes,RandomForest,9957,n_estimators,400.0,0.8495530782364166,0.39442769402568395,0.3371647509578544,0.31370392503657024,0.5697920790500262,2.6354321400169285,0.09284589998424053
Furanes,XGBoost,9957,n_estimators,400.0,0.8467409862408356,0.3389578636878526,0.3340042814407942,0.3096610343782759,0.5488146140713195,1.6834930800134316,0.024854860012419523
Furanes,CatBoost,9957,iterations,100.0,0.8426232801044491,0.32615651631654746,0.3332361332486533,0.31051404673319977,0.5439798961978566,1.1277308800024912,0.005319040012545883
colistine,LogisticRegression,9957,C,0.01,0.8462388269559105,0.3774491505144771,0.33666553191348375,0.3123167687320479,0.574534967184175,0.051933440007269384,0.003963720030151307
colistine,DecisionTree,9957,max_depth,,0.7201968464396906,0.3422579446228973,0.3437314071468507,0.3424594572221967,0.5085121054358592,0.14932316001504659,0.0031580200185999273
colistine,RandomForest,9957,n_estimators,100.0,0.8463392588128954,0.2821414222579349,0.3332937826293308,0.30559181897302,0.5608744240741715,0.6745331200072542,0.027176279993727803
colistine,XGBoost,9957,n_estimators,400.0,0.8434267349603294,0.49536150684160146,0.3351099262942318,0.3113670409681075,0.551780951477295,1.7239256799919531,0.02542578000575304
colistine,CatBoost,9957,iterations,200.0,0.842321984533494,0.3559817375606849,0.3352745693821033,0.312794216383294,0.5451615507473689,2.197379460022785,0.005898019974119961
